Category,Subcategory,Article,Languages,Last Updated
Place,Country,Denmark,290 Wikipedias,2024/12/26
Place,Country,Estonia,290 Wikipedias,2024/12/10
Place,Country,Greece,290 Wikipedias,2024/12/10
Place,Country,Netherlands,289 Wikipedias,2024/12/10
Place,Country,Portugal,289 Wikipedias,2024/12/11
Place,Country,Iran,288 Wikipedias,2024/12/10
Place,Country,Indonesia,287 Wikipedias,2024/12/11
Place,Country,Sweden,287 Wikipedias,2024/12/11
Place,Organization,United Nations,287 Wikipedias,2024/12/11
Place,Country,Belgium,286 Wikipedias,2024/12/11
Other,Language,Spanish language,285 Wikipedias,2024/12/11
Place,Country,Israel,285 Wikipedias,2024/12/11
Place,Country,Croatia,284 Wikipedias,2024/12/11
Place,Country,Lithuania,283 Wikipedias,2024/12/11
Place,Country,Belarus,282 Wikipedias,2024/12/11
Place,City,Paris,280 Wikipedias,2024/12/12
Place,Country,Algeria,280 Wikipedias,2024/12/11
Place,Country,Czech Republic,280 Wikipedias,2024/12/11
Place,Country,Hungary,280 Wikipedias,2024/12/11
Place,Astronomy,Moon,278 Wikipedias,2024/12/11
Place,Country,Armenia,278 Wikipedias,2024/12/11
Place,Country,Kazakhstan,278 Wikipedias,2024/12/11
Place,Country,Afghanistan,277 Wikipedias,2024/12/11
Place,City,London,276 Wikipedias,2024/12/12
Place,City,Moscow,276 Wikipedias,2024/12/12
Place,Country,Ethiopia,276 Wikipedias,2024/12/11
Place,Country,Iceland,276 Wikipedias,2024/12/11
Place,Country,Andorra,274 Wikipedias,2024/12/11
Place,Country,Romania,274 Wikipedias,2024/12/11
Place,Country,Serbia,274 Wikipedias,2024/12/11
Place,Country,South Korea,274 Wikipedias,2024/12/11
Place,Country,Thailand,274 Wikipedias,2024/12/11
Place,Country,Bangladesh,273 Wikipedias,2024/12/11
Place,Country,Luxembourg,273 Wikipedias,2024/12/11
Person,Music,Michael Jackson,272 Wikipedias,2024/12/16
Person,Religion,Jesus,272 Wikipedias,2024/12/11
Place,Country,Latvia,272 Wikipedias,2024/12/11
Place,Country,Pakistan,272 Wikipedias,2024/12/11
Place,Water,Water,272 Wikipedias,2024/12/11
Other,Language,French language,271 Wikipedias,2024/12/11
Other,Organism,Cat,271 Wikipedias,2024/12/11
Place,Country,Georgia (country),271 Wikipedias,2024/12/11
Place,Country,Malaysia,271 Wikipedias,2024/12/11
Place,Country,Republic of Ireland,271 Wikipedias,2024/12/11
Place,Country,New Zealand,270 Wikipedias,2024/12/11
Place,Country,Nigeria,270 Wikipedias,2024/12/11
Place,Country,Slovakia,270 Wikipedias,2024/12/11
Place,Country,Slovenia,270 Wikipedias,2024/12/11
Place,Country,Venezuela,270 Wikipedias,2024/12/11
Other,Organism,Dog,269 Wikipedias,2024/12/11
Place,Country,Bosnia and Herzegovina,269 Wikipedias,2024/12/11
Place,Country,Saudi Arabia,268 Wikipedias,2024/12/11
Place,Country,Vatican City,268 Wikipedias,2024/12/11
Place,Country,Malta,267 Wikipedias,2024/12/11
Place,Country,Moldova,267 Wikipedias,2024/12/11
Place,Country,Morocco,267 Wikipedias,2024/12/11
Other,Language,German language,266 Wikipedias,2024/12/11
Other,Religion,Islam,266 Wikipedias,2024/12/11
Place,Country,Iraq,266 Wikipedias,2024/12/11
Other,Religion,Bible,265 Wikipedias,2024/12/11
Place,Country,Philippines,265 Wikipedias,2024/12/11
Place,City,Berlin,264 Wikipedias,2024/12/12
Place,City,Rome,264 Wikipedias,2024/12/12
Place,Country,Kenya,264 Wikipedias,2024/12/11
Place,Continent,North America,263 Wikipedias,2024/12/11
Place,Country,Ghana,263 Wikipedias,2024/12/11
Place,Country,Democratic Republic of the Congo,262 Wikipedias,2024/12/13
Place,Country,North Macedonia,262 Wikipedias,2024/12/11
Place,Country,Peru,262 Wikipedias,2024/12/11
Field,Language,Language,261 Wikipedias,2024/12/11
Place,City,Rio de Janeiro,261 Wikipedias,2024/12/12
Place,Continent,South America,261 Wikipedias,2024/12/12
Place,Country,Liechtenstein,261 Wikipedias,2024/12/11
Place,Country,San Marino,261 Wikipedias,2024/12/06
Other,Religion,Christianity,260 Wikipedias,2024/12/16
Place,City,Tokyo,260 Wikipedias,2024/12/12
Place,Country,Angola,260 Wikipedias,2024/12/11
Place,Country,Bolivia,260 Wikipedias,2024/12/11
Place,Country,Monaco,260 Wikipedias,2024/12/06
Place,Country,Singapore,260 Wikipedias,2024/12/06
Place,Country,Botswana,259 Wikipedias,2024/12/06
Place,Country,Cyprus,259 Wikipedias,2024/12/06
Place,Country,Libya,259 Wikipedias,2024/12/06
Place,Country,North Korea,259 Wikipedias,2024/12/06
Place,Country,Sudan,259 Wikipedias,2024/12/13
Place,Country,Tanzania,259 Wikipedias,2024/12/13
Place,Country,Cuba,258 Wikipedias,2024/12/06
Place,Country,Tunisia,258 Wikipedias,2024/12/06
Field,Other,Geography,257 Wikipedias,2024/12/14
Place,Continent,Antarctica,257 Wikipedias,2024/12/12
Place,Country,Montenegro,257 Wikipedias,2024/12/06
Place,Country,Syria,257 Wikipedias,2024/12/06
Place,City,New York City,256 Wikipedias,2024/12/12
Place,Country,Mongolia,256 Wikipedias,2024/12/06
Place,Country,Namibia,256 Wikipedias,2024/12/13
Field,Other,Mathematics,255 Wikipedias,2024/12/05
Place,Country,Cambodia,255 Wikipedias,2024/12/13
Place,Country,Lebanon,255 Wikipedias,2024/12/06
Place,Country,Nepal,255 Wikipedias,2024/12/13
Place,Country,Laos,254 Wikipedias,2024/12/13
Place,Country,Uruguay,254 Wikipedias,2024/12/13
Other,Language,Russian language,253 Wikipedias,2024/12/15
Place,Country,Benin,253 Wikipedias,2024/12/06
Place,Country,Chad,253 Wikipedias,2024/12/13
Place,Country,Ivory Coast,253 Wikipedias,2024/12/13
Place,Country,Jordan,253 Wikipedias,2024/12/06
Place,Country,Kyrgyzstan,253 Wikipedias,2024/12/06
Place,Country,Myanmar,253 Wikipedias,2024/12/13
Other,Organism,Animal,252 Wikipedias,2024/12/06
Person,US President,Ronald Reagan,252 Wikipedias,2024/12/16
Place,City,Beijing,252 Wikipedias,2024/12/12
Place,Country,Bhutan,252 Wikipedias,2024/12/06
Place,Country,Burkina Faso,252 Wikipedias,2024/12/06
Place,Country,Ecuador,252 Wikipedias,2024/12/13
Place,Country,Madagascar,252 Wikipedias,2024/12/06
Place,Country,Mali,252 Wikipedias,2024/12/13
Place,Country,Paraguay,252 Wikipedias,2024/12/13
Place,Country,Uganda,252 Wikipedias,2024/12/13
Place,Country,Cameroon,251 Wikipedias,2024/12/13
Place,Country,Zimbabwe,251 Wikipedias,2024/12/13
Place,Astronomy,Mars,250 Wikipedias,2024/12/12
Place,Astronomy,Venus,250 Wikipedias,2024/12/12
Place,Country,Brunei,250 Wikipedias,2024/12/06
Place,Country,Eritrea,250 Wikipedias,2024/12/13
Place,Country,Tajikistan,250 Wikipedias,2024/12/06
Place,Country,Uzbekistan,250 Wikipedias,2024/12/06
Other,Language,Arabic,249 Wikipedias,2024/12/15
Person,US President,Barack Obama,249 Wikipedias,2024/12/16
Place,City,Madrid,248 Wikipedias,2024/12/12
Place,Country,Mozambique,248 Wikipedias,2024/12/06
Place,Country,Qatar,248 Wikipedias,2024/12/06
Field,Science,Biology,247 Wikipedias,2024/12/15
Person,US President,Donald Trump,247 Wikipedias,2024/12/16
Place,City,"Washington, D.C.",247 Wikipedias,2024/12/12
Place,Country,Senegal,247 Wikipedias,2024/12/13
Place,Country,Somalia,247 Wikipedias,2024/12/13
Place,Country,United Arab Emirates,247 Wikipedias,2024/12/13
Place,Country,Zambia,247 Wikipedias,2024/12/06
Place,Region,Oceania,247 Wikipedias,2024/12/10
Place,Country,Bahrain,246 Wikipedias,2024/12/06
Place,Country,Burundi,246 Wikipedias,2024/12/13
Place,Country,Mauritania,246 Wikipedias,2024/12/13
Place,Country,Niger,246 Wikipedias,2024/12/06
Place,Country,Gabon,245 Wikipedias,2024/12/13
Place,Country,Republic of the Congo,245 Wikipedias,2024/12/13
Place,Country,The Gambia,245 Wikipedias,2024/12/13
Place,Country,Turkmenistan,245 Wikipedias,2024/12/06
Field,Science,Physics,244 Wikipedias,2024/12/05
Place,Country,Djibouti,244 Wikipedias,2024/12/13
Place,Country,Liberia,244 Wikipedias,2024/12/13
Place,Country,Yemen,244 Wikipedias,2024/12/13
Field,Astronomy,Astronomy,243 Wikipedias,2024/12/14
Other,Language,Latin,243 Wikipedias,2024/12/15
Place,Country,Central African Republic,242 Wikipedias,2024/12/13
Place,Country,Guinea,242 Wikipedias,2024/12/13
Place,Country,Sri Lanka,242 Wikipedias,2024/12/13
Place,Country,Taiwan,242 Wikipedias,2024/12/13
Place,Country,Togo,242 Wikipedias,2024/12/13
Place,Water,Pacific Ocean,242 Wikipedias,2024/12/14
Place,Astronomy,Mercury (planet),241 Wikipedias,2024/12/12
Place,Country,Guinea-Bissau,241 Wikipedias,2024/12/13
Place,Country,Kuwait,241 Wikipedias,2024/12/13
Place,Region,England,241 Wikipedias,2024/12/14
Place,Water,Atlantic Ocean,241 Wikipedias,2024/12/14
Field,Other,Computer,240 Wikipedias,2024/12/05
Field,Science,Science,240 Wikipedias,2024/12/05
Place,Country,Rwanda,240 Wikipedias,2024/12/13
Other,Organism,Bird,239 Wikipedias,2024/12/06
Person,Politics (1900s),Adolf Hitler,239 Wikipedias,2024/12/16
Place,Country,Belize,239 Wikipedias,2024/12/06
Place,Country,Cape Verde,239 Wikipedias,2024/12/13
Place,Region,Hong Kong,239 Wikipedias,2024/12/13
Other,Language,Portuguese language,238 Wikipedias,2024/12/15
Other,Organism,Horse,238 Wikipedias,2025/01/31
Place,City,Jerusalem,238 Wikipedias,2024/12/12
Place,Country,Guatemala,238 Wikipedias,2024/12/13
Place,Country,Jamaica,238 Wikipedias,2024/12/13
Place,Country,Panama,238 Wikipedias,2024/12/13
Place,Country,Sierra Leone,238 Wikipedias,2024/12/13
Place,Organization,European Union,238 Wikipedias,2024/12/06
Person,Painting,Leonardo da Vinci,237 Wikipedias,2024/12/16
Place,Astronomy,Jupiter,237 Wikipedias,2024/12/12
Place,Continent,Americas,237 Wikipedias,2024/12/05
Place,Country,Costa Rica,237 Wikipedias,2024/12/13
Place,Country,Guyana,237 Wikipedias,2024/12/13
Place,Country,Malawi,237 Wikipedias,2024/12/13
Place,Country,Oman,237 Wikipedias,2024/12/13
Field,Philosophy,Philosophy,236 Wikipedias,2024/12/05
Field,Science,Chemistry,236 Wikipedias,2024/12/15
Other,Organism,Lion,236 Wikipedias,2024/12/27
Other,Sports,Association football,236 Wikipedias,2024/12/06
Place,Country,Honduras,236 Wikipedias,2024/12/13
Place,Country,Lesotho,236 Wikipedias,2024/12/13
Place,Country,Suriname,236 Wikipedias,2024/12/13
Field,Other,History,235 Wikipedias,2024/12/14
Other,Organism,Plant,235 Wikipedias,2024/12/06
Place,City,Amsterdam,235 Wikipedias,2025/01/24
Place,Country,Comoros,235 Wikipedias,2024/12/13
Material,Element,Gold,234 Wikipedias,2025/02/10
Place,City,Stockholm,234 Wikipedias,2025/02/10
Place,Country,East Timor,234 Wikipedias,2024/12/13
Field,Music,Music,233 Wikipedias,2024/12/05
Place,Astronomy,Star,233 Wikipedias,2024/12/05
Place,Country,Equatorial Guinea,233 Wikipedias,2024/12/13
Place,Country,Nicaragua,233 Wikipedias,2024/12/13
Field,Religion,Religion,232 Wikipedias,2024/12/15
Other,War,World War II,232 Wikipedias,2024/12/05
Person,Religion,Confucius,232 Wikipedias,2024/12/16
Place,Astronomy,Saturn,232 Wikipedias,2024/12/12
Place,Continent,Continent,232 Wikipedias,2024/12/05
Place,Country,Maldives,232 Wikipedias,2024/12/13
Place,Country,Mauritius,232 Wikipedias,2024/12/13
Place,Country,Papua New Guinea,232 Wikipedias,2024/12/13
Other,Religion,Christmas,231 Wikipedias,2024/12/16
Place,Astronomy,Planet,231 Wikipedias,2024/12/05
Place,Country,Eswatini,231 Wikipedias,2024/12/13
Other,Language,Italian language,230 Wikipedias,2024/12/15
Other,Language,Japanese language,230 Wikipedias,2024/12/15
Person,Science,Isaac Newton,230 Wikipedias,2024/12/16
Place,City,Athens,230 Wikipedias,2024/12/12
Place,Country,Barbados,230 Wikipedias,2024/12/06
Place,Country,El Salvador,230 Wikipedias,2024/12/13
Place,Country,The Bahamas,230 Wikipedias,2024/12/06
Place,Water,Indian Ocean,230 Wikipedias,2024/12/14
Other,Organism,Fish,229 Wikipedias,2024/12/27
Person,Politics (current),Vladimir Putin,229 Wikipedias,2024/12/16
Place,Astronomy,Uranus,229 Wikipedias,2024/12/12
Place,Country,Haiti,229 Wikipedias,2024/12/13
Person,Science,Albert Einstein,228 Wikipedias,2024/12/16
Place,City,Istanbul,228 Wikipedias,2024/12/12
Place,Astronomy,Neptune,227 Wikipedias,2024/12/12
Other,Language,Persian language,226 Wikipedias,2024/12/15
Place,Water,Mediterranean Sea,226 Wikipedias,2024/12/14
Other,Language,Chinese language,225 Wikipedias,2024/12/05
Place,City,Los Angeles,225 Wikipedias,2024/12/12
Place,Country,Antigua and Barbuda,225 Wikipedias,2024/12/06
Person,Politics (1900s),Nelson Mandela,224 Wikipedias,2024/12/16
Person,Writing,William Shakespeare,224 Wikipedias,2024/12/16
Other,Metrics,Year,223 Wikipedias,2025/01/08
Other,Religion,Buddhism,223 Wikipedias,2024/12/16
Other,War,World War I,223 Wikipedias,2024/12/05
Person,US President,Joe Biden,223 Wikipedias,2024/12/16
Place,City,Cairo,223 Wikipedias,2024/12/12
Place,Country,Dominican Republic,223 Wikipedias,2024/12/13
Place,Country,South Sudan,223 Wikipedias,2024/12/13
Other,Organism,Human,222 Wikipedias,2024/12/06
Other,Science,Atom,222 Wikipedias,2025/01/04
Place,Country,São Tomé and Príncipe,222 Wikipedias,2024/12/13
Material,Element,Iron,221 Wikipedias,2025/02/10
Other,Religion,Hinduism,221 Wikipedias,2024/12/16
Place,Country,Fiji,221 Wikipedias,2024/12/13
Place,Country,Seychelles,221 Wikipedias,2024/12/13
Place,Region,California,221 Wikipedias,2024/12/06
Material,Element,Hydrogen,220 Wikipedias,2025/02/10
Other,Other,Internet,220 Wikipedias,2024/12/06
Place,City,São Paulo,220 Wikipedias,2024/12/12
Person,Philosophy,Aristotle,219 Wikipedias,2024/12/16
Other,Language,Greek language,218 Wikipedias,2024/12/05
Person,Music,Wolfgang Amadeus Mozart,218 Wikipedias,2024/12/16
Person,Religion,Muhammad,218 Wikipedias,2024/12/16
Place,Water,Ocean,218 Wikipedias,2024/12/05
Other,Food,Maize,217 Wikipedias,2024/12/06
Place,Country,Dominica,217 Wikipedias,2024/12/13
Place,Country,Nauru,217 Wikipedias,2024/12/13
Other,Food,Milk,216 Wikipedias,2024/12/06
Other,Organism,Tree,216 Wikipedias,2024/12/27
Person,Politics (pre-1900),Julius Caesar,216 Wikipedias,2024/12/06
Place,City,Sydney,216 Wikipedias,2025/02/19
Place,Region,Alaska,216 Wikipedias,2024/12/06
Place,Region,Scotland,216 Wikipedias,2024/12/06
Other,Metrics,Day,215 Wikipedias,2025/01/08
Other,Religion,Judaism,215 Wikipedias,2024/12/16
Person,Music,Johann Sebastian Bach,215 Wikipedias,2024/12/05
Place,Country (former),Soviet Union,215 Wikipedias,2024/12/06
Place,Water,Nile,215 Wikipedias,2024/12/14
Other,Other,Eye,214 Wikipedias,2024/12/06
Person,Philosophy,Plato,214 Wikipedias,2024/12/16
Place,Country,Palau,214 Wikipedias,2024/12/13
Place,Country,Vanuatu,214 Wikipedias,2024/12/13
Other,Language,Esperanto,213 Wikipedias,2024/12/15
Person,Film,Corbin Bleu,213 Wikipedias,2024/12/06
Place,City,Mexico City,213 Wikipedias,2024/12/12
Place,Region,Hawaii,213 Wikipedias,2024/12/06
Other,Organism,Chicken,212 Wikipedias,2025/03/01
Person,Politics (pre-1900),Napoleon,212 Wikipedias,2024/12/16
Place,Country,Kosovo,212 Wikipedias,2024/12/06
Place,Country,Trinidad and Tobago,212 Wikipedias,2024/12/13
Place,Region,New York (state),212 Wikipedias,2024/12/09
Other,Organism,Mammal,211 Wikipedias,2024/12/27
Person,US President,George W. Bush,211 Wikipedias,2024/12/16
Place,Country,Kiribati,211 Wikipedias,2024/12/13
Place,Country,Tuvalu,211 Wikipedias,2024/12/13
Place,Water,Black Sea,211 Wikipedias,2024/12/14
Field,Politics,Politics,210 Wikipedias,2024/12/05
Field,Writing,Literature,210 Wikipedias,2024/12/15
Material,Element,Oxygen,210 Wikipedias,2025/02/10
Place,Country,Grenada,210 Wikipedias,2024/12/13
Place,Country,Tonga,210 Wikipedias,2024/12/13
Business,Website,Facebook,209 Wikipedias,2024/12/09
Field,Painting,Art,209 Wikipedias,2024/12/14
Field,Sports,Sport,209 Wikipedias,2024/12/09
Group,Music,The Beatles,209 Wikipedias,2024/12/05
Person,Painting,Michelangelo,209 Wikipedias,2024/12/16
Place,Country,Samoa,209 Wikipedias,2024/12/13
Place,Water,Arctic Ocean,209 Wikipedias,2024/12/14
Person,Painting,Vincent van Gogh,208 Wikipedias,2024/12/11
Person,Politics (pre-1900),Alexander the Great,208 Wikipedias,2024/12/09
Person,Religion,The Buddha,208 Wikipedias,2024/12/05
Place,City,Baghdad,208 Wikipedias,2024/12/12
Place,City,Seoul,208 Wikipedias,2024/12/12
Place,Mountain,Mount Everest,208 Wikipedias,2024/12/12
Other,Food,Coffee,207 Wikipedias,2025/04/02
Other,Other,Euro,207 Wikipedias,2024/12/15
Other,Other,Fire,206 Wikipedias,2025/02/19
Person,Exploration,Christopher Columbus,206 Wikipedias,2024/12/16
Person,Politics (1900s),Vladimir Lenin,206 Wikipedias,2024/12/09
Material,Element,Copper,205 Wikipedias,2025/02/10
Material,Element,Silver,205 Wikipedias,2025/02/10
Other,Other,Woman,205 Wikipedias,2024/12/15
Other,Religion,God,205 Wikipedias,2024/12/16
Other,Religion,Quran,205 Wikipedias,2024/12/16
Person,Music,Ludwig van Beethoven,205 Wikipedias,2024/12/05
Person,Politics (recent),Elizabeth II,205 Wikipedias,2024/12/09
Place,City,Copenhagen,205 Wikipedias,2025/02/10
Material,Element,Carbon,204 Wikipedias,2025/02/10
Other,Food,Bread,204 Wikipedias,2025/01/31
Other,Other,Car,204 Wikipedias,2025/02/11
Person,Economics,Karl Marx,204 Wikipedias,2024/12/09
Person,Politics (pre-1900),Augustus,204 Wikipedias,2024/12/16
Person,US President,George Washington,204 Wikipedias,2024/12/16
Place,Region,Greenland,204 Wikipedias,2024/12/09
Field,Other,Culture,203 Wikipedias,2024/12/14
Other,Food,Banana,203 Wikipedias,2025/04/02
Other,Organism,Flower,203 Wikipedias,2025/01/31
Other,Other,Heart,203 Wikipedias,2024/12/09
Other,Science,Periodic table,203 Wikipedias,2024/12/09
Person,Painting,Pablo Picasso,203 Wikipedias,2024/12/11
Place,Region,Texas,203 Wikipedias,2024/12/09
Other,Language,Dutch language,202 Wikipedias,2024/12/15
Other,Language,Hebrew language,202 Wikipedias,2024/12/15
Other,Organism,Ant,202 Wikipedias,2025/03/01
Other,Organism,Cattle,202 Wikipedias,2025/01/31
Person,Science,Galileo Galilei,202 Wikipedias,2024/12/09
Place,Region,Florida,202 Wikipedias,2024/12/09
Place,Region,Wales,202 Wikipedias,2024/12/09
Field,Other,Psychology,201 Wikipedias,2024/12/14
Other,Metrics,Week,201 Wikipedias,2025/02/11
Other,Organism,Sheep,201 Wikipedias,2025/01/31
Person,Science,Charles Darwin,201 Wikipedias,2024/12/09
Place,Country,Solomon Islands,201 Wikipedias,2024/12/13
Other,Language,Turkish language,200 Wikipedias,2024/12/15
Other,Other,Money,200 Wikipedias,2024/12/09
Person,Politics (1900s),Mahatma Gandhi,200 Wikipedias,2024/12/09
Person,Politics (1900s),Mustafa Kemal Atatürk,200 Wikipedias,2024/12/24
Person,US President,Abraham Lincoln,200 Wikipedias,2024/12/16
Other,Language,Swedish language,199 Wikipedias,2024/12/15
Person,Philosophy,Socrates,199 Wikipedias,2024/12/09
Place,Country,Saint Lucia,199 Wikipedias,2024/12/13
Place,Region,Sahara,199 Wikipedias,2024/12/12
Field,Color,Color,198 Wikipedias,2025/04/02
Other,Language,Polish language,198 Wikipedias,2024/12/15
Place,Astronomy,Pluto,198 Wikipedias,2024/12/12
Place,City,Damascus,198 Wikipedias,2024/12/12
Place,Country,Marshall Islands,198 Wikipedias,2024/12/13
Business,Website,YouTube,197 Wikipedias,2024/12/09
Material,Element,Helium,197 Wikipedias,2025/02/10
Other,Politics,Democracy,197 Wikipedias,2025/02/15
Person,Politics (1900s),Joseph Stalin,197 Wikipedias,2024/12/16
Place,City,Nairobi,197 Wikipedias,2025/02/18
Place,City,Ottawa,197 Wikipedias,2025/03/01
Place,Country,Saint Kitts and Nevis,197 Wikipedias,2024/12/13
Other,Organism,Bear,196 Wikipedias,2024/12/27
Other,Organism,Insect,196 Wikipedias,2024/12/09
Place,Water,Amazon River,196 Wikipedias,2024/12/14
Other,Food,Apple,195 Wikipedias,2025/04/02
Other,Food,Tomato,195 Wikipedias,2025/04/02
Other,Language,Indo-European languages,195 Wikipedias,2024/12/09
Other,Organism,Elephant,195 Wikipedias,2024/12/27
Other,Organism,Snake,195 Wikipedias,2024/12/27
Other,Organism,Tiger,195 Wikipedias,2024/12/27
Other,Other,Blood,195 Wikipedias,2025/01/31
Person,Painting,Salvador Dalí,195 Wikipedias,2024/12/11
Other,Number,1,194 Wikipedias,2024/12/29
Person,Film,Charlie Chaplin,194 Wikipedias,2024/12/16
Place,City,Mecca,194 Wikipedias,2024/12/12
Material,Element,Nitrogen,193 Wikipedias,2025/02/10
Other,Food,Rice,193 Wikipedias,2024/12/09
Person,Writing,Homer,193 Wikipedias,2024/12/16
Place,Country,Federated States of Micronesia,193 Wikipedias,2024/12/13
Place,Country,Saint Vincent and the Grenadines,193 Wikipedias,2024/12/13
Place,Region,Macau,193 Wikipedias,2024/12/14
Field,Number,Number,192 Wikipedias,2025/04/02
Material,Element,Aluminium,192 Wikipedias,2025/02/10
Other,Language,Urdu,192 Wikipedias,2024/12/15
Other,Organism,Wolf,192 Wikipedias,2024/12/27
Other,Other,Nobel Prize,192 Wikipedias,2025/01/04
Person,Film,Marilyn Monroe,192 Wikipedias,2024/12/06
Place,City,Mumbai,192 Wikipedias,2024/12/12
Field,Other,Medicine,191 Wikipedias,2024/12/05
Field,Other,Poetry,192 Wikipedias,2025/04/06
Other,Other,Chess,195 Wikipedias,2025/04/06
Person,Politics (recent),François Hollande,191 Wikipedias,2025/02/05
Place,Organization,NATO,194 Wikipedias,2025/04/06
Place,Water,Caspian Sea,191 Wikipedias,2024/12/14
Field,Economics,Economics,190 Wikipedias,2024/12/05
Field,Food,Food,190 Wikipedias,2024/12/09
Other,Other,Spring (season),190 Wikipedias,2025/02/06
Other,Other,Summer,190 Wikipedias,2025/02/06
Other,Other,Winter,190 Wikipedias,2025/02/06
Field,Science,Geology,189 Wikipedias,2024/12/15
Other,Sports,Basketball,188 Wikipedias,2024/12/09
Person,Writing,Dante Alighieri,188 Wikipedias,2024/12/16
Place,Astronomy,Milky Way,188 Wikipedias,2025/01/03
Place,City,Cape Town,188 Wikipedias,2024/12/27
Place,Region,Tennessee,188 Wikipedias,2025/02/10
Field,Other,Technology,187 Wikipedias,2024/12/14
Other,Other,Man,187 Wikipedias,2024/12/15
Person,Science,Thomas Edison,187 Wikipedias,2024/12/16
Person,Writing,Johann Wolfgang von Goethe,187 Wikipedias,2024/12/11
Other,Food,Potato,186 Wikipedias,2025/04/02
Other,Language,Sanskrit,186 Wikipedias,2024/11/25
Other,Organism,Pig,186 Wikipedias,2024/12/09
Place,Astronomy,Universe,186 Wikipedias,2024/12/05
Field,Other,Dance,185 Wikipedias,2024/12/14
Field,Other,Law,185 Wikipedias,2024/12/14
Material,Element,Lithium,185 Wikipedias,2025/02/10
Other,Metrics,Time,185 Wikipedias,2024/12/05
Other,Organism,Fungus,185 Wikipedias,2024/12/27
Other,Other,Brain,185 Wikipedias,2024/12/09
Place,Country (former),Roman Empire,185 Wikipedias,2024/12/09
Other,Language,Hindi,184 Wikipedias,2024/12/15
Person,Religion,Martin Luther,184 Wikipedias,2024/12/05
Person,Science,Archimedes,184 Wikipedias,2024/12/11
Person,Science,Marie Curie,184 Wikipedias,2024/12/16
Place,Mountain,Himalayas,184 Wikipedias,2024/12/12
Other,Color,Red,183 Wikipedias,2024/12/09
Person,Science,Sigmund Freud,183 Wikipedias,2024/12/09
Field,Country,State (polity),182 Wikipedias,2024/12/09
Group,Music,The Doors,182 Wikipedias,2024/12/11
Other,Organization,UNESCO,182 Wikipedias,2024/12/09
Other,Politics,Republic,182 Wikipedias,2025/02/15
Person,Politics (current),Naruhito,182 Wikipedias,2024/12/11
Person,Writing,Leo Tolstoy,182 Wikipedias,2024/12/16
Place,Water,Southern Ocean,182 Wikipedias,2024/12/14
Field,Writing,Alphabet,181 Wikipedias,2024/12/09
Material,Element,Sulfur,181 Wikipedias,2025/02/10
Other,Number,2,181 Wikipedias,2024/12/29
Other,Science,Light,181 Wikipedias,2025/01/03
Person,Music,Elvis Presley,181 Wikipedias,2024/12/05
Place,City,Canberra,181 Wikipedias,2025/02/19
Place,Region,Middle East,181 Wikipedias,2024/12/09
Field,Film,Film,180 Wikipedias,2024/12/14
Other,Language,Ukrainian language,180 Wikipedias,2024/11/25
Other,Sports,Olympic Games,180 Wikipedias,2024/12/09
Place,Country (former),Ottoman Empire,180 Wikipedias,2024/12/09
Place,Region,Faroe Islands,180 Wikipedias,2024/12/09
Place,Region,Gibraltar,180 Wikipedias,2024/12/09
Other,Other,Latin script,179 Wikipedias,2025/03/01
Person,US President,Franklin D. Roosevelt,179 Wikipedias,2025/02/05
